index;L1;L2;L3;L4;Hex1;Hex2;Hex3;Hex4;Hex5;RF;Slot2Out2;Slot2Out3;Slot2Out4;EIC 2,9584 - 3,2623;EIC 18,9014 - 19,4015;EIC 28,9571 - 29,0837
1;-62.09;-81.5;-107.2;-102.83;-5.89;-75.86;-1.65;-117.19;-32.05;339.38;-84.9;-114.83;-70.94;0.00000187;0.0214;0.00127
2;-83.17;-3.41;-17.71;-111.34;-74.96;-100.76;-6.93;-43.21;-84.27;389.95;-85.25;-2.03;-0.81;0.00000616;0.00256;0.000144
3;-97.07;-36.7;-12.28;-70.85;-26.6;-38.09;-66.14;-85.72;-96.72;280.48;-61.97;-66.52;-12.01;0.00000203;0.00202;0.000126
4;-114.41;-37.72;-62.97;-83.58;-87.57;-79.65;-38.17;-9.01;-63.33;375.42;-23.24;-59.65;-77.13;0.00000139;0.000444;0.0000214
5;-85.65;-45.35;-104.94;-17.79;-73.27;-32.84;-71.96;-1.02;-28.54;332.49;-77.14;-71.75;-86.24;0.0000027;0.103;0.00572
6;-76.85;-111.74;-13.63;-65.37;-70.8;-11.22;-41.51;-40.02;-10.23;221.24;-64.79;-42.88;-41.33;0.00000234;0.00336;0.00019
7;-12.33;-70.38;-42.72;-4.97;-82.88;-40.39;-25.07;-23.27;-44.54;178.88;-25.52;-88.47;-37.54;0.0000229;0.000515;0.0000191
8;-9.66;-113.4;-83.4;-59.41;-23.9;-47.03;-22.44;-44.99;-46.32;284.01;-6.51;-55.7;-48.66;0.00000214;0.000457;0.0000315
9;-112.38;-105.45;-54.93;-80.68;-59.63;-108.19;-91.25;-102.3;-7.98;101.21;-103.17;-94.9;-14.04;0.0115;0.00063;0.0000588
10;-2.16;-5.43;-28.51;-118.93;-111.47;-1.25;-116.13;-47.8;-65.94;252.04;-114.24;-67.47;-95.97;0.0000028;0.0871;0.00446
11;-42.5;-102.21;-44.85;-21.12;-38.79;-52.63;-53.74;-69.62;-55.88;257.73;-76.5;-89.16;-55.61;0.00000214;0.0372;0.00255
12;-33.84;-59.27;-112.76;-66.71;-110.32;-101.3;-111.2;-30.11;-59.94;196.98;-28.5;-57.76;-83.14;0.00000166;0.000846;0.0000452
13;-111.35;-35.01;-15.69;-1.94;-51.87;-62.98;-84.72;-7.87;-4.67;182.14;-31.24;-7.8;-54.73;0.00000873;0.000485;0.0000245
14;-57.55;-108.42;-114.81;-36.46;-36.25;-31.79;-119.09;-54.7;-62.12;167.7;-81.09;-96.57;-110.27;0.0471;0.0752;0.0068
15;-61.02;-25.1;-68.93;-63.49;-29.13;-67.51;-75.88;-53.58;-1.57;328.78;-1;-29.67;-42.33;0.00000173;0.0000378;0.0000053
16;-34.9;-20.6;-64.31;-85.91;-63.11;-42.8;-56.9;-29.11;-21.26;231.32;-11.71;-25.34;-30.37;0.00000134;0.0000573;0.00000173
17;-99.09;-9.9;-3.31;-76.02;-105.76;-50.33;-118.01;-97.13;-117.66;353.05;-35.76;-48.54;-99.25;0.000000764;0.00579;0.00038
18;-70.31;-58.75;-84.44;-48.5;-66.2;-105.59;-44.39;-72;-113.28;45.37;-44.54;-57.33;-39.2;0.0978;0.00261;0.000159
19;-25.35;-74.73;-64.98;-43.79;-101.05;-104.26;-47.54;-26.15;-21.88;359.96;-39.19;-10.95;-84.58;0.00000309;0.000611;0.0000724
20;-24.02;-28.98;-113.58;-31.43;-6.87;-116.79;-28.54;-17.02;-66.15;18.55;-20.19;-33.29;-105.14;0.0464;0.000608;0.00000986
21;-80.96;-71.24;-10.21;-23.06;-112.26;-114.83;-61.96;-59.12;-115.48;327.98;-88.63;-38.93;-93.49;0.00000123;0.0593;0.00465
22;-0.12;-44.02;-41.28;-61.44;-50.96;-96.12;-76.93;-89.57;-25.68;24.97;-93.51;-49.92;-115.23;0.607;0.0304;0.00131
23;-39.01;-20.07;-24.63;-33.61;-64.96;-26.35;-79.03;-72.36;-109.93;321.29;-115.99;-54.84;-74.36;0.00000335;0.064;0.00525
24;-78.2;-42.13;-95.96;-106.46;-30.87;-6.07;-81.83;-46.68;-16.38;195.77;-19.19;-14.76;-20.31;0.0000035;0.0000641;0.00000657
25;-18.95;-117.05;-51.95;-57.26;-61.72;-5.24;-103.41;-58.09;-92.35;109.65;-60.67;-2.96;-107.31;0.0254;0.00103;0.000123
26;-40.53;-28.27;-118.18;-15.36;-116.81;-111.95;-105.96;-93.42;-47.7;341.64;-28.96;-111.43;-21.81;0.00000245;0.000348;0.0000176
27;-107.19;-14.01;-81.3;-112.94;-38.33;-84.06;-89.75;-87.78;-52.7;260.4;-3.82;-19.89;-6.43;0.0000025;0.0000269;0.00000593
28;-23.83;-40.24;-82.4;-7.1;-115.86;-0.56;-62.67;-39.11;-6.79;187.81;-33.32;-45.48;-16.73;0.00000246;0.000332;0.0000209
29;-92.81;-50.87;-92.19;-15.89;-80.66;-85.6;-9.63;-97.27;-69.15;319.5;-73.88;-103.7;-88.63;0.00000144;0.0738;0.00508
30;-65.76;-0.1;-111.06;-104.43;-84.62;-26.98;-40.56;-110.1;-49.86;277.12;-100.71;-6.16;-23.51;0.00000277;0.00159;0.0001
31;-75.87;-93.52;-92.84;-47.29;-60.04;-92.66;-107.24;-41.27;-86.82;301.13;-14.56;-77.51;-1.86;0.00000291;0.0000617;0.00000381
32;-56.38;-48.29;-77.98;-68.21;-88.06;-89.55;-44.43;-32.24;-5.92;112.52;-88.86;-99.95;-87.42;0.0602;0.0419;0.00255
33;-31.28;-7.71;-35.29;-108.6;-48.22;-29.72;-72.52;-113.05;-108.5;296.87;-57.39;-36.1;-29.81;0.00000282;0.000966;0.0000732
34;-73.01;-104;-51;-57.83;-77.58;-109.7;-115.15;-91.03;-3.03;54.29;-93.8;-112.64;-40.41;0.0369;0.00199;0.000104
35;-101.37;-77.9;-96.58;-34.92;-0.22;-62.11;-54.71;-11.19;-42.79;134.38;-82.67;-118.62;-14.68;0.0287;0.00145;0.00014
36;-103.82;-110.42;-9.08;-42.25;-14.17;-98.05;-85.69;-35.91;-29.95;275.73;-25.09;-61.55;-102.87;0.00000302;0.00103;0.000104
37;-115.41;-118.67;-0.79;-10.97;-10.89;-107.6;-38.84;-18.67;-92.92;215.67;-36.12;-83.63;-51.4;0.00000792;0.00067;0.0000343
38;-59.92;-85.81;-29.05;-19.97;-93.76;-24;-55.61;-106.32;-67.78;207.67;-38.2;-84.65;-33.58;0.00000258;0.000425;0.0000474
39;-36.72;-50.22;-6.78;-70.15;-64.15;-27.79;-96.24;-104.01;-116.48;397.79;-22.43;-92.88;-79.14;0.00000245;0.00259;0.000276
40;-118.09;-81.97;-97.68;-12.25;-15.26;-83.77;-45.76;-5.39;-19.71;271.73;-20.54;-113.01;-60.67;0.00000201;0.0025;0.000244
41;-27.04;-106.91;-99.44;-74.79;-91.51;-94.98;-17.39;-63.61;-48.09;1.65;-119.82;-73.02;-5.71;0.000197;0.000000709;0.000000355
42;-80.19;-98.52;-56.41;-98.55;-33.41;-90.84;-49.88;-3.48;-94.27;60.32;-95.59;-9.15;-7.59;0.0867;0.00097;0.0000907
43;-46.26;-32.91;-58.84;-30.99;-119.53;-57.27;-16.44;-61.11;-40.67;365.81;-113.47;-76.33;-68.26;0.000004;0.0398;0.00466
44;-43.78;-92.12;-38.01;-90.46;-34.89;-2.8;-100.92;-78.93;-86.25;171.01;-82.92;-63.39;-110.76;0.0156;0.135;0.00762
45;-89.49;-41.23;-76.74;-116.05;-114.52;-94.78;-52.05;-79.43;-13.03;232.09;-109.44;-53.81;-116.77;0.00000205;0.0415;0.00355
46;-52.41;-86.88;-37;-18.29;-46.99;-24.19;-112.73;-48.05;-80.87;146.68;-47.71;-68.59;-4.39;0.00197;0.000681;0.0000755
47;-48.72;-78.21;-55.95;-32.86;-54.84;-44.62;-33.99;-100.6;-54.94;311.37;-39.76;-3.89;-24.34;0.00000293;0.000468;0.000049
48;-54.28;-57.06;-39.19;-114.03;-7.68;-119.18;-4.6;-13.38;-43.39;57.33;-90.48;-107.95;-64.92;0.323;0.0345;0.00172
49;-99.96;-94.21;-2.32;-7.92;-2.36;-82.32;-20.48;-19.26;-9.12;64.58;-97.76;-119.87;-46.28;0.13;0.00794;0.000516
50;-108.67;-46.12;-108.54;-3.75;-4.37;-30.38;-68.82;-114.98;-23.4;251.72;-50.36;-28.72;-72.47;0.00000584;0.00138;0.0000742
51;-90.04;-11.69;-22.91;-37.62;-18.78;-14.32;-109.47;-84.59;-37.06;86.48;-69.24;-41.21;-27.07;0.0282;0.000739;0.0000863
52;-2.77;-32.26;-78.21;-25.49;-28.12;-86.41;-14.19;-105.4;-26.41;387.15;-14.16;-47.54;-89.84;0.00000196;0.000289;0.0000253
53;-102.49;-26.59;-33.85;-56;-108.26;-17.42;-32.74;-34.6;-57.74;240.88;-42.31;-5.92;-17.48;0.00000208;0.000441;0.0000184
54;-16.14;-21.71;-66.94;-50.93;-10.32;-9.76;-116.68;-81.01;-51.39;43.46;-56.38;-98.69;-11.99;0.0536;0.000177;0.00002
55;-84.5;-76.73;-11.44;-107.95;-53.72;-78.45;-32.33;-101.53;-98.94;172.35;-87.08;-87.3;-94.14;0.00765;0.0233;0.00146
